ns1:loca ionName,ns1:da a ime,ns1:value
文山區,2019/6/6 03:00,26
文山區,2019/6/6 06:00,25
文山區,2019/6/6 09:00,30
文山區,2019/6/6 12:00,34
文山區,2019/6/6 15:00,32
文山區,2019/6/6 18:00,30
文山區,2019/6/6 21:00,28
文山區,2019/6/7 00:00,27
文山區,2019/6/7 03:00,26
文山區,2019/6/7 06:00,26
文山區,2019/6/7 09:00,31
文山區,2019/6/7 12:00,34
文山區,2019/6/7 15:00,33
文山區,2019/6/7 18:00,30
文山區,2019/6/7 21:00,28
文山區,2019/6/8 00:00,27
文山區,2019/6/8 03:00,26
文山區,2019/6/8 06:00,25
文山區,2019/6/8 09:00,30
文山區,2019/6/8 12:00,33
文山區,2019/6/8 15:00,31
南港區,2019/6/5 18:00,31
南港區,2019/6/5 21:00,29
南港區,2019/6/6 00:00,28
南港區,2019/6/6 03:00,27
南港區,2019/6/6 06:00,27
南港區,2019/6/6 09:00,31
南港區,2019/6/6 12:00,34
南港區,2019/6/6 15:00,32
南港區,2019/6/6 18:00,31
南港區,2019/6/6 21:00,29
南港區,2019/6/7 00:00,28
南港區,2019/6/7 03:00,28
南港區,2019/6/7 06:00,28
南港區,2019/6/7 09:00,32
南港區,2019/6/7 12:00,34
南港區,2019/6/7 15:00,33
南港區,2019/6/7 18:00,30
南港區,2019/6/7 21:00,29
南港區,2019/6/8 00:00,28
南港區,2019/6/8 03:00,27
南港區,2019/6/8 06:00,27
南港區,2019/6/8 09:00,30
南港區,2019/6/8 12:00,33
南港區,2019/6/8 15:00,31
內湖區,2019/6/5 18:00,31
內湖區,2019/6/5 21:00,30
內湖區,2019/6/6 00:00,29
內湖區,2019/6/6 03:00,28
內湖區,2019/6/6 06:00,27
內湖區,2019/6/6 09:00,32
內湖區,2019/6/6 12:00,34
內湖區,2019/6/6 15:00,33
內湖區,2019/6/6 18:00,31
內湖區,2019/6/6 21:00,30
內湖區,2019/6/7 00:00,29
內湖區,2019/6/7 03:00,28
內湖區,2019/6/7 06:00,28
內湖區,2019/6/7 09:00,32
內湖區,2019/6/7 12:00,35
內湖區,2019/6/7 15:00,33
內湖區,2019/6/7 18:00,31
內湖區,2019/6/7 21:00,29
內湖區,2019/6/8 00:00,28
內湖區,2019/6/8 03:00,28
內湖區,2019/6/8 06:00,27
內湖區,2019/6/8 09:00,31
內湖區,2019/6/8 12:00,33
內湖區,2019/6/8 15:00,32
士林區,2019/6/5 18:00,31
士林區,2019/6/5 21:00,30
士林區,2019/6/6 00:00,29
士林區,2019/6/6 03:00,28
士林區,2019/6/6 06:00,28
士林區,2019/6/6 09:00,31
士林區,2019/6/6 12:00,34
士林區,2019/6/6 15:00,33
士林區,2019/6/6 18:00,31
士林區,2019/6/6 21:00,30
士林區,2019/6/7 00:00,29
士林區,2019/6/7 03:00,28
士林區,2019/6/7 06:00,28
士林區,2019/6/7 09:00,32
士林區,2019/6/7 12:00,34
士林區,2019/6/7 15:00,33
士林區,2019/6/7 18:00,31
士林區,2019/6/7 21:00,30
士林區,2019/6/8 00:00,28
士林區,2019/6/8 03:00,28
士林區,2019/6/8 06:00,27
士林區,2019/6/8 09:00,31
士林區,2019/6/8 12:00,33
士林區,2019/6/8 15:00,32
北投區,2019/6/5 18:00,31
北投區,2019/6/5 21:00,29
北投區,2019/6/6 00:00,29
北投區,2019/6/6 03:00,28
北投區,2019/6/6 06:00,28
北投區,2019/6/6 09:00,31
北投區,2019/6/6 12:00,33
北投區,2019/6/6 15:00,32
北投區,2019/6/6 18:00,30
北投區,2019/6/6 21:00,29
北投區,2019/6/7 00:00,29
北投區,2019/6/7 03:00,28
北投區,2019/6/7 06:00,28
北投區,2019/6/7 09:00,32
北投區,2019/6/7 12:00,34
北投區,2019/6/7 15:00,33
北投區,2019/6/7 18:00,31
北投區,2019/6/7 21:00,29
北投區,2019/6/8 00:00,28
北投區,2019/6/8 03:00,28
北投區,2019/6/8 06:00,27
北投區,2019/6/8 09:00,31
北投區,2019/6/8 12:00,33
北投區,2019/6/8 15:00,32
